id,transaction_type,transaction_id,transaction_time,transaction_amount,business_short_code,bill_ref_number,invoice_number,org_account_balance,third_party_tansaaction_id,msisdn,first_name,middle_name,last_name
87,Pay Bill,F8BEAACFAE,20250413095706,921,107031,64803,,1132,8458329454334df8994fe322f258b14c,0138001586317,Heidi,,Rasmussen
88,Pay Bill,F56A037DF2,20250316084309,151,107031,,,4387,ac7f4cbb3bec4bbdb3bf622d93dbf747,5443412715949,Nicholas,Felicia,Walsh
89,Buy Goods,364922436F,20250209215149,936,107031,59578,,4614,68448dbc44db4d22a293ea6e4bfe8210,8056489512467,Tammy,,Smith
90,Buy Goods,601E3FCEE9,20250302211811,447,107031,98180,,2280,,5730647616446,Daniel,Ryan,Smith
91,Buy Goods,CB7554168C,20250411092216,146,107031,78158,,1452,25a31ceae2b743d68e8b9457825cd6ea,1467305552759,Shirley,,Rangel
92,Pay Bill,28004FD164,20250203105530,569,107031,33628,,1233,1250358d8d724b68837a5481b67def64,8286423818645,Samantha,Aaron,Harris
93,Buy Goods,600338DD9E,20250219192552,631,107031,85393,,2769,,3782273528339,Philip,Brittney,Hendricks
94,Buy Goods,D5B43171D6,20250115102425,22818,107031,30730,,3606,a5d75ef2e9f44f19bc9f53571bfabd8a,9551474878186,Jason,,Ramos
95,Buy Goods,3B89FFB794,20250224204650,925,107031,85562,,1925,aa13535828234258bf26cb68d67fad00,9960016016079,Danielle,Paul,Cortez
96,Pay Bill,671A3B360F,20250315190121,221,107031,21804,,4748,8e2b51a3b367496a87ba25388e8e3f63,9885605780146,Daniel,Joshua,Payne
97,Buy Goods,45E00ACF5A,20250121202011,504,107031,77136,,4762,e4932cc3613d48eab53ca3e7152f78ce,3868315518393,Karen,Roberto,Rangel
98,Pay Bill,100A1388AD,20250203193431,678,107031,45638,,2261,e32cc0ac139c40cf8417db9e96327a2c,6241684004900,Jeremy,Kevin,Baker
99,Buy Goods,190D6E32F0,20250119184709,287,107031,82999,,1162,7350e230f3bc4b82b74840fa42087b15,9960016016079,Danielle,Paul,Cortez
100,Pay Bill,8B1E5572FD,20250124092708,763,107031,81022,,1762,530b1444a42849f4b09ceda3764c1189,7424870101170,Barbara,Ann,Ferguson
101,Buy Goods,85ADDF6A05,20250203202000,706,107031,78420,,1734,36df854775f049299011b21457272428,2059798017379,Emily,Rodney,Kelley
102,Pay Bill,99FE2D7D42,20250306090756,445,107031,64876,,4188,56501a9e7c0c46b581b2a0dfd9815c60,0959552353573,Maxwell,Stephen,Smith
103,Pay Bill,570F6729C4,20250407084044,216,107031,16635,,2375,eb7289f2d4574a8c8f5465bc82b3062f,1182838662093,Tammy,,Walker
104,Pay Bill,EE74FD9B9D,20250219084506,388,107031,34749,,2848,0926b49ffb724a96b2565fc3b1fbfd49,1592380257992,Elizabeth,,Arnold
105,Pay Bill,43AD9FD4A3,20250103093549,715,107031,17498,,4997,7eef86230ea146ee812fffeaabc73333,3932473205222,Renee,,Myers
106,Buy Goods,C31C61AA31,20250120095339,106,107031,47193,,1655,69d4f7d581914a75b9831cfa7c305d63,7675667210139,Rachel,,Jackson
107,Buy Goods,89E8C96F14,20250128082148,226,107031,,,4082,be3a96732e5d4e84a9b26f4566d81387,0539114309116,Amy,Cody,Baker
108,Buy Goods,CD27C3779D,20250221204423,528,107031,96477,,3969,4d973892113648aa9dd9ffb7cec3c059,4885785802409,Tracy,Evelyn,Gonzalez
109,Buy Goods,D06E4F764D,20250312090142,692,107031,72166,,3822,1b67d61be31041be84bf33ece91e3f15,9551474878186,Jason,,Ramos
110,Buy Goods,1CE264540F,20250206202951,395,107031,82338,,2435,12593a9900c14cc4b49ccde09fc8ebf7,6166747946901,John,Destiny,Malone
111,Buy Goods,B3871A3E9C,20250325085833,67,107031,,,3975,1e33bdd47aa64bbfbccac5180b0fc615,0138001586317,Heidi,,Rasmussen
112,Pay Bill,D98110F0BE,20250219213924,37029,107031,23263,,4816,69b489b8c6394ad3a90ab3188b6885ef,7675667210139,Rachel,,Jackson
113,Pay Bill,9E59543B49,20250125080218,599,107031,91621,,3463,aed75e3aa5b5474a94dfb560e64978ca,0953477618063,Cynthia,,Holder
114,Pay Bill,369E7207C0,20250209083019,688,107031,23985,,3506,a00bca1d9366494fb7401d14d3ba4be4,7675667210139,Rachel,,Jackson
115,Pay Bill,8F8662C9E5,20250313084237,253,107031,46885,,2920,05f19cc8fa6d411395c729a978605149,2170710120869,Keith,,Esparza
116,Pay Bill,23DAA1652F,20250109212957,160,107031,64597,,3332,9ed5a125c39c4b8e88a04ac51e428143,2869932187643,Justin,,King
117,Pay Bill,4A75BC597F,20250301195534,940,107031,10230,,2958,efb4805babbe460a9a294ac9d91dd939,2059798017379,Emily,Rodney,Kelley
118,Buy Goods,D8BE8F20D3,20250108094450,27,107031,73577,,2985,afd4ac71e2f84581b20c8a7915ccaa49,8097660041907,Chase,,Bush
119,Buy Goods,B3BB29DBFF,20250127092207,455,107031,67014,,4805,34e1e76360124c348b571f5ecc06b6db,6027078290841,Gabrielle,,Thomas
120,Buy Goods,97966A375E,20250121200333,495,107031,84967,,1790,4aac59195b81407e901118caf815d101,2059798017379,Emily,Rodney,Kelley
121,Buy Goods,FA89DBC857,20250405180941,105,107031,36277,,3605,,6849777461451,Jennifer,Debra,Perry
122,Pay Bill,6AEA51AE93,20250122210641,692,107031,,,3486,fa5c55c4ebf247088e43852613d1f4c8,2654856132411,Alexis,,May
123,Pay Bill,AB5E6D2B6F,20250122084745,213,107031,75677,,1619,e67ddee9e4464de683b7567e60eebeb2,4296109667540,Wayne,,Flores
124,Buy Goods,9255E1AB5B,20250316084702,635,107031,54752,,2274,fa1d6b4f6fde4d6ea445d08aafbe42c5,9958734568510,Paula,Emily,Silva
125,Pay Bill,5B8F71D4C6,20250118192919,773,107031,42985,,4402,ca1275da7a274901916d71a71d766f3f,6211840185710,Bradley,Jonathan,Macdonald
126,Buy Goods,174484661D,20250412100805,527,107031,38462,,2802,3ae7a68cc551439698655158099d1304,9960016016079,Danielle,Paul,Cortez
127,Pay Bill,60D535457E,20250128102729,236,107031,65992,,1923,fe18a76b73a94a669f9cc5080e369915,0698590854751,Michael,,Bush
128,Pay Bill,FA742FB324,20250105104407,991,107031,10637,,4424,cb4a09aa62644ba789350665de995087,2022319141734,Miranda,Linda,Harrell
129,Pay Bill,0CF6FB9962,20250310211027,18908,107031,55571,,1856,a823ff0768da42998d5b774a65574a97,3868315518393,Karen,Roberto,Rangel
130,Pay Bill,986C0A8AB8,20250208093022,244,107031,84201,,3350,b395c33a06e147ad978f6e0e8dd583de,3766347961144,Amanda,,Sandoval
131,Buy Goods,56C025F295,20250412090247,19001,107031,30984,,1263,,0846050404154,William,Amanda,Berry
132,Buy Goods,1BBE1F529D,20250212100610,702,107031,98344,,3068,3c17e29f18a942f28727011d829e0714,8717905630930,Michael,Lauren,Wyatt
133,Buy Goods,F24250ECFA,20250126104821,333,107031,90548,,3913,4acc0e6a5ef045558ef2626ec7af49db,3868315518393,Karen,Roberto,Rangel
134,Pay Bill,B9C2C2C1F3,20250205104001,541,107031,78962,,2972,147c17d2bcca4cbfbdf4c0576e30a24d,0293085650755,Martin,,Moreno
135,Buy Goods,42C1F72ADB,20250124094429,808,107031,36018,,1391,7cbd5db322ec42efb96fa8f1ed17567e,3868315518393,Karen,Roberto,Rangel
136,Buy Goods,38D6DAFE55,20250122202400,172,107031,14785,,3668,64424b12148546f5bfdd477089ff5970,3056327796067,Jose,Cassandra,Cobb
137,Pay Bill,1E2D1EB644,20250114192840,14725,107031,,,2960,d3b903c5b75948f8a76fa4ac26e1928d,4100217815796,Peter,Matthew,Bell
138,Pay Bill,C2ECFD7E38,20250311103327,529,107031,44698,,3859,79c376ac45f441018fb42677e0fcc7c2,3868315518393,Karen,Roberto,Rangel
139,Buy Goods,B1E4CBCC70,20250305202036,276,107031,22906,,4328,6408e31f46254243a6453f3d8903f3c3,9034744942780,Laura,Julie,Wolfe
140,Pay Bill,0FEC6B330E,20250103103526,32,107031,,,2583,bc925e1746b24e5fae14a30847ea75d5,2059798017379,Emily,Rodney,Kelley
141,Pay Bill,79260CDED1,20250131200601,17,107031,,,2634,dad61ff5e8ff4dbf825789a33cb145a1,3751587627557,Charlene,,Duncan
142,Pay Bill,6CB2089DC6,20250219210501,28846,107031,54317,,2453,1e5a29c205a44432a7e54a672cf0932e,9960016016079,Danielle,Paul,Cortez
143,Pay Bill,4530F6C865,20250317193133,407,107031,85734,,1330,5265cb23951a430b9b687eb1a516f06a,3923484006022,Jonathan,Sarah,Simmons
144,Pay Bill,65C24911B5,20250402181928,696,107031,43165,,4102,33b744db476748a49ef336a1ead011ff,2643199868375,Erica,Angela,Dorsey
145,Pay Bill,558885F295,20250103190019,565,107031,79887,,2314,ee23523f069c40fc917d421c0993e9d2,7675667210139,Rachel,,Jackson
146,Buy Goods,C7D2A88AB6,20250128215136,699,107031,,,3804,758b8fd12b574979802cb2caf7308e1c,2654856132411,Alexis,,May
147,Pay Bill,444DF414B2,20250318090218,128,107031,90608,,4526,8ab50a7a45174d8593a9e21e640ce4af,3751587627557,Charlene,,Duncan
148,Pay Bill,8F93347231,20250204210833,935,107031,,,1472,5f26c2905bdf4e40913e2ee8b55943ff,2170025576195,Trevor,Connie,Floyd
149,Buy Goods,4F173332D6,20250315081625,280,107031,86882,,3551,b78323f9e5aa4b5d8f08e313e03fec10,6426361797284,Joshua,Melanie,Lewis
150,Pay Bill,580E928757,20250403102324,135,107031,72435,,3897,3d12f5596a514342980626490869595c,2022319141734,Miranda,Linda,Harrell
151,Buy Goods,DC3288639E,20250131211048,200,107031,11545,,1891,587a8da62f6146b1a33ffe94fdb59f35,9897882892484,Joshua,Scott,Williams
152,Buy Goods,63C40D0F92,20250302203222,642,107031,39936,,3585,26ab3af422c5467fb15799fd027e862f,5329491495488,Jacqueline,Gary,Calderon
153,Pay Bill,00F9C38B56,20250313080941,525,107031,77117,,3818,3db0a459bd33437ea40752a0990586e4,9960016016079,Danielle,Paul,Cortez
154,Pay Bill,34BDB4730D,20250201215452,465,107031,16466,,1675,d757f7b6650048cd831748854de9d73e,6195606958427,Scott,,Rhodes
155,Pay Bill,880BD4CC7F,20250306183625,205,107031,15116,,1039,5648bcdf39c647ac941c81e05d357575,8188162329981,Yvonne,Stephanie,Coleman
156,Buy Goods,C681688A38,20250221091337,434,107031,88152,,1700,e78ed00ea01849a487b177d1e152ee8a,5415690683784,Craig,,Thompson
157,Pay Bill,439C8B1803,20250302213547,631,107031,42760,,1412,3216952c80674031a99f2ba923056f56,4417984807810,Christopher,Jillian,Mann
158,Pay Bill,A3CFC16FC7,20250214083909,676,107031,38540,,4370,74a6acf15be54a68a710af287ced3411,2869932187643,Justin,,King
159,Pay Bill,F430B399E3,20250114184706,650,107031,,,1044,4e17ccd522c241eaa81656c11c2370a1,4100217815796,Peter,Matthew,Bell
160,Pay Bill,8F527A4C85,20250211201120,604,107031,72973,,3714,d3e94d9cf1eb4b89ab7c735cba6cefed,5670788183756,Paul,David,Snyder
161,Buy Goods,D2AEEEC03C,20250130210330,802,107031,38263,,3998,71062231cc294c3ba29194a64276d015,1354600435055,Kathleen,Sharon,Romero
162,Buy Goods,0920A31576,20250219093257,800,107031,57889,,2643,21ea7ec7108049c6aeff63de499ab471,6658988783392,Amanda,Tracy,Humphrey
163,Buy Goods,4C1FF9F240,20250223183551,988,107031,25775,,3060,,3868315518393,Karen,Roberto,Rangel
164,Pay Bill,EEF04F1DDA,20250220185251,446,107031,86513,,1423,3ce8356a98ab405c829546432326bad1,0083124733336,Taylor,,Washington
165,Pay Bill,F4D30367C3,20250323083050,133,107031,74129,,1169,452b3479d9d840e9be6e52a6f4b04b6c,8167489577858,Melanie,Amanda,Price
166,Pay Bill,F170C7B066,20250113095023,658,107031,53883,,1459,,3050577625383,Katherine,,Rogers
167,Buy Goods,B673BDB58C,20250209093001,31951,107031,23320,,4213,26c6bda3170d40fcac6a00e05647f073,0801282507241,Katherine,Felicia,Miller
168,Buy Goods,0FD267CC52,20250316210256,787,107031,,,3130,22de647c7a5945a48d8587647b22e2d2,2059798017379,Emily,Rodney,Kelley
169,Pay Bill,7B4F32A117,20250402215429,101,107031,85727,,2922,cf2af77565a44d9287f0dded8762fa50,3561658329132,Virginia,Kerri,Keller
170,Pay Bill,09E7B39CE1,20250309080553,666,107031,41198,,3253,7c351d0334324392a732147e4f3ced3e,2427556257316,Stephen,,Zimmerman
171,Buy Goods,075E245044,20250311194525,201,107031,32351,,3105,0e3ef1939a9645c4915784a7f6c260e1,2059798017379,Emily,Rodney,Kelley
172,Buy Goods,A7E3053769,20250221105532,762,107031,66399,,3797,3bd28b54a3a4456cba9c0febefe965d8,1077582217954,Kelsey,Debbie,Garza
173,Pay Bill,4A1215E43A,20250413103159,962,107031,,,4252,311173750a754ef8b07af98ba50abe87,3868315518393,Karen,Roberto,Rangel
174,Buy Goods,7B0E9A9FCB,20250208091410,862,107031,98625,,1223,,9836589732280,Nicole,Gerald,Martinez
175,Buy Goods,51B419E4F7,20250308101723,34603,107031,95587,,1597,da061ffbe8c246e7b7b92da8ee197372,8050614046200,Michael,Jenny,Miller
176,Pay Bill,5023252FD6,20250106085849,529,107031,88034,,2873,a97a4d146cc44de6abaa990d793cf9e6,2869932187643,Justin,,King
177,Pay Bill,1C395E1B89,20250210085045,633,107031,30720,,4757,b92a06995de148c2ad898a2eee8d45dd,8188162329981,Yvonne,Stephanie,Coleman
178,Pay Bill,242155B9E3,20250118094947,491,107031,84857,,3483,27068258f9844194acee6b12f2fa232e,3458018959063,Dwayne,Melvin,Patton
179,Buy Goods,9BBA880A3B,20250212184802,580,107031,78154,,4408,ffe88945e17640188631ef502147e422,2059798017379,Emily,Rodney,Kelley
180,Pay Bill,7E38DBEF1D,20250310105857,785,107031,59241,,2930,,9897460140176,Julie,,Galvan
181,Buy Goods,257571D2D2,20250223205019,76,107031,83441,,3999,3031749c0cad41e88ba1b2114fe26f4f,1077582217954,Kelsey,Debbie,Garza
182,Pay Bill,F42A8AACAD,20250301104142,63,107031,43296,,3083,9154cdf8fc9b4bd38098bcc5aa4af355,1101238130478,Eric,Jason,Gonzalez
183,Buy Goods,78F8180667,20250302205606,196,107031,44036,,4957,8adcae2592b6461daaee6c9c42cbbce5,9921654094980,Eric,Kevin,Vargas
184,Pay Bill,5A67A89DC8,20250402091842,240,107031,,,1884,,0380105477620,Jake,Daniel,Villegas
185,Pay Bill,7ADBCCC169,20250105213627,473,107031,98715,,2649,,4164411239918,Andrew,Melissa,Ware
186,Pay Bill,2E819B12BB,20250204081804,847,107031,54327,,2640,35b1fb73eea54d9e8984176d09b10982,1573616531545,Michael,,Coleman
187,Pay Bill,1613264B07,20250401191652,355,107031,33250,,3807,fc715449e9034cfab1d8aa362ee024ac,7675667210139,Rachel,,Jackson
